mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,UUID,event_timestamp
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),c0dd64ee-a283-4a83-a340-5e059a60facc,2022-04-20 10:13:34.876184
13,8,350,175,4100,13,73,1,buick century 350,032be822-3079-49bb-82b6-3dc07bde5253,2022-04-20 10:13:34.876192
14,8,304,150,3672,11.5,73,1,amc matador,4ceb0945-f480-4259-9bbe-fc9e5bef87cd,2022-04-20 10:13:34.876200
13,8,350,145,3988,13,73,1,chevrolet malibu,37293ee6-e351-4b50-91c6-6c74bf8982a6,2022-04-20 10:13:34.876208
14,8,302,137,4042,14.5,73,1,ford gran torino,6df5f00b-304c-4566-9899-1f24c3684b91,2022-04-20 10:13:34.876216
15,8,318,150,3777,12.5,73,1,dodge coronet custom,376eab04-27be-4a6c-b6e6-fd21f42dda56,2022-04-20 10:13:34.876224
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,267dab2b-275a-4c59-b32f-bfb4d514873c,2022-04-20 10:13:34.876244
13,8,400,150,4464,12,73,1,chevrolet caprice classic,abb5c1fe-47e8-405f-ad54-a5a59330260c,2022-04-20 10:13:34.876252
13,8,351,158,4363,13,73,1,ford ltd,a7387730-b991-415f-a665-c56c5d8b7213,2022-04-20 10:13:34.876260
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,71d37e04-5418-4c13-871b-c5eb8d2e658f,2022-04-20 10:13:34.876269
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,a1fc64a2-f62b-49f8-a0a8-cd143d14b88a,2022-04-20 10:13:34.876277
12,8,455,225,4951,11,73,1,buick electra 225 custom,138bf801-8b2c-40fa-a6e4-322d07e042a4,2022-04-20 10:13:34.876285
13,8,360,175,3821,11,73,1,amc ambassador brougham,a9866c3a-e921-4a59-af80-506c3e4b50e8,2022-04-20 10:13:34.876293
18,6,225,105,3121,16.5,73,1,plymouth valiant,9c5e2e7b-9be4-4fb2-a7ea-e0913e86d6bb,2022-04-20 10:13:34.876302
16,6,250,100,3278,18,73,1,chevrolet nova custom,0e2fb5a3-1d76-4532-a782-f02ed4943212,2022-04-20 10:13:34.876310
18,6,232,100,2945,16,73,1,amc hornet,2651153d-b17d-4b6a-ad03-4a80df4fbec1,2022-04-20 10:13:34.876318
18,6,250,88,3021,16.5,73,1,ford maverick,8a8b983b-af8a-4acd-9604-7fe0f1f710e2,2022-04-20 10:13:34.876326
23,6,198,95,2904,16,73,1,plymouth duster,73bc061f-836a-4ad3-8c07-bb87971a44db,2022-04-20 10:13:34.876343
26,4,97,46,1950,21,73,2,volkswagen super beetle,2fd75fe0-9622-4481-a52f-f9f6d010365a,2022-04-20 10:13:34.876351
11,8,400,150,4997,14,73,1,chevrolet impala,6457afa9-9bef-4f27-a58a-9c0dab8fe1fd,2022-04-20 10:13:34.876359
12,8,400,167,4906,12.5,73,1,ford country,9451b3be-b8c9-4570-a8c0-fb0d12fa95d0,2022-04-20 10:13:34.876367
13,8,360,170,4654,13,73,1,plymouth custom suburb,40b2c722-b0a9-4e98-85d2-bb26397b52bb,2022-04-20 10:13:34.876375
12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,6aff6a03-1971-48fb-a316-d0e8cd888dc9,2022-04-20 10:13:34.876383
18,6,232,100,2789,15,73,1,amc gremlin,87062f3f-8691-4cbe-9396-e3a361735772,2022-04-20 10:13:34.876391
20,4,97,88,2279,19,73,3,toyota carina,4863dd22-2c95-44aa-82cb-31ec8440d556,2022-04-20 10:13:34.876399
21,4,140,72,2401,19.5,73,1,chevrolet vega,57170b43-9418-433e-834b-41b038c82d38,2022-04-20 10:13:34.876413
22,4,108,94,2379,16.5,73,3,datsun 610,e0910173-3511-42bc-b68c-0f709ee116db,2022-04-20 10:13:34.876421
18,3,70,90,2124,13.5,73,3,maxda rx3,a6658d7d-42b3-45e0-8b65-cbdb4d967107,2022-04-20 10:13:34.876429
19,4,122,85,2310,18.5,73,1,ford pinto,3e62374c-45ee-4007-9e36-b1ff97fe1728,2022-04-20 10:13:34.876449
21,6,155,107,2472,14,73,1,mercury capri v6,021c3137-bfe2-489c-a2cd-2bb6d9e6266b,2022-04-20 10:13:34.876468
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,60d16071-00dc-4334-9687-354a731751d3,2022-04-20 10:13:34.876476
15,8,350,145,4082,13,73,1,chevrolet monte carlo s,9c84f1c9-015e-4ccf-9909-9e8a320bed31,2022-04-20 10:13:34.876484
16,8,400,230,4278,9.5,73,1,pontiac grand prix,c73a0e4b-4390-40d0-91b6-85b58853a4a0,2022-04-20 10:13:34.876492
29,4,68,49,1867,19.5,73,2,fiat 128,adb5f8f0-88ca-4558-9759-c9ad991b67c4,2022-04-20 10:13:34.876500
24,4,116,75,2158,15.5,73,2,opel manta,d17f0d25-a534-4ec6-a17a-887f88294743,2022-04-20 10:13:34.876508
20,4,114,91,2582,14,73,2,audi 100ls,e864c066-941f-4ac7-9047-f1b5bea850f2,2022-04-20 10:13:34.876516
19,4,121,112,2868,15.5,73,2,volvo 144ea,a73a6691-3077-4d22-97ce-a5c4eb4b84e9,2022-04-20 10:13:34.876524
15,8,318,150,3399,11,73,1,dodge dart custom,cd48b75a-705c-47c1-9bde-7bc47b609122,2022-04-20 10:13:34.876545
24,4,121,110,2660,14,73,2,saab 99le,a622d341-a4b0-4643-92b4-571ba298a66f,2022-04-20 10:13:34.876560
20,6,156,122,2807,13.5,73,3,toyota mark ii,355c63af-eba3-41ce-a0c9-1fd0ce60d768,2022-04-20 10:13:34.876577
11,8,350,180,3664,11,73,1,oldsmobile omega,c7e6004b-329a-4e68-9674-8223e367f9b0,2022-04-20 10:13:34.876586
20,6,198,95,3102,16.5,74,1,plymouth duster,d046792e-0c73-40a4-894c-dfa5c19c580c,2022-04-20 10:13:34.876594
19,6,232,100,2901,16,74,1,amc hornet,6957ec03-c4c3-4952-931e-484ce64869b2,2022-04-20 10:13:34.876602
15,6,250,100,3336,17,74,1,chevrolet nova,63063d40-37f8-421b-8e6b-51d532883e33,2022-04-20 10:13:34.876610
31,4,79,67,1950,19,74,3,datsun b210,48113047-d27f-48f1-a1a3-bac2e8c99750,2022-04-20 10:13:34.876618
26,4,122,80,2451,16.5,74,1,ford pinto,17365212-394e-474a-82ca-62abc374e6d2,2022-04-20 10:13:34.876626
32,4,71,65,1836,21,74,3,toyota corolla 1200,e2a5da11-59e6-46b7-985d-fb621ec50c6f,2022-04-20 10:13:34.876634
25,4,140,75,2542,17,74,1,chevrolet vega,8d9f72d1-0530-44bf-8146-501d02a90b95,2022-04-20 10:13:34.876642
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic,5f91bdae-1dba-40fe-8234-673a58385db7,2022-04-20 10:13:34.876655
16,6,258,110,3632,18,74,1,amc matador,2272f808-d2d0-42f1-903d-23710e81815e,2022-04-20 10:13:34.876664
18,6,225,105,3613,16.5,74,1,plymouth satellite sebring,64e072ca-8a69-4e3e-8901-3abc28a2f769,2022-04-20 10:13:34.876672
16,8,302,140,4141,14,74,1,ford gran torino,5c5c03b9-113e-477a-90d0-50251408b14a,2022-04-20 10:13:34.876693
13,8,350,150,4699,14.5,74,1,buick century luxus (sw),6147d0a0-3b42-4d88-92ce-c08ead293860,2022-04-20 10:13:34.876712
14,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),d78fc0b3-e8ff-4a30-8dc0-f059aaccc08d,2022-04-20 10:13:34.876744
14,8,302,140,4638,16,74,1,ford gran torino (sw),bde233bd-c165-4b41-947a-06b309f54643,2022-04-20 10:13:34.876759
14,8,304,150,4257,15.5,74,1,amc matador (sw),51f84f5a-d7fb-41c4-bc00-dce03ff26d56,2022-04-20 10:13:34.876771
29,4,98,83,2219,16.5,74,2,audi fox,bc0e16ea-0225-46a1-a49e-e5b2423424e5,2022-04-20 10:13:34.876784
26,4,79,67,1963,15.5,74,2,volkswagen dasher,e0a9425e-0f28-48df-9645-aa18b3d914ee,2022-04-20 10:13:34.876795
26,4,97,78,2300,14.5,74,2,opel manta,e2cd4c50-ec0c-4a46-8091-2b01a7747286,2022-04-20 10:13:34.876809
31,4,76,52,1649,16.5,74,3,toyota corona,04c3fa81-0e68-426a-acf6-62bac1075d40,2022-04-20 10:13:34.876821
32,4,83,61,2003,19,74,3,datsun 710,3d1fbff6-a7cc-408c-8606-a79fefb131de,2022-04-20 10:13:34.876834
28,4,90,75,2125,14.5,74,1,dodge colt,2a30dfb4-afc9-4cdd-ba97-ce74dd8047ce,2022-04-20 10:13:34.876848
24,4,90,75,2108,15.5,74,2,fiat 128,782518df-1c44-420d-a544-121be841fe82,2022-04-20 10:13:34.876866
26,4,116,75,2246,14,74,2,fiat 124 tc,e765dc78-58a6-4a93-9402-f703ed9d7b25,2022-04-20 10:13:34.876885
24,4,120,97,2489,15,74,3,honda civic,b029eac8-3434-4d82-b465-1da3b29905ee,2022-04-20 10:13:34.876893
26,4,108,93,2391,15.5,74,3,subaru,0023c5cd-650e-4839-8a29-16660e680b6a,2022-04-20 10:13:34.876902
31,4,79,67,2000,16,74,2,fiat x1.9,76b861e6-bcd8-450f-9790-35b067189c96,2022-04-20 10:13:34.876910
19,6,225,95,3264,16,75,1,plymouth valiant custom,795a108f-d6dd-4156-abe9-c25c43eb47ab,2022-04-20 10:13:34.876956
18,6,250,105,3459,16,75,1,chevrolet nova,4fc18371-15e3-494d-a224-0e9f1110a0ed,2022-04-20 10:13:34.876975
15,6,250,72,3432,21,75,1,mercury monarch,0c75e355-18c6-4b70-9994-765e3ad0f5cc,2022-04-20 10:13:34.876994
15,6,250,72,3158,19.5,75,1,ford maverick,e31ab7c9-0363-4280-8d5c-98f8a6a43392,2022-04-20 10:13:34.877003
16,8,400,170,4668,11.5,75,1,pontiac catalina,fce94adf-2f3d-4b2d-96c9-b74adacb962a,2022-04-20 10:13:34.877012
15,8,350,145,4440,14,75,1,chevrolet bel air,f1ec75de-ea8d-454d-9d77-80cbb1508772,2022-04-20 10:13:34.877020
16,8,318,150,4498,14.5,75,1,plymouth grand fury,fa7a5f2e-95e0-460c-9be8-9539505520e1,2022-04-20 10:13:34.877029
14,8,351,148,4657,13.5,75,1,ford ltd,7a3266bd-fd07-4bca-a592-68b67d42cc59,2022-04-20 10:13:34.877037
17,6,231,110,3907,21,75,1,buick century,d5a1a509-6ef8-4c8d-aa8b-1808a497f94d,2022-04-20 10:13:34.877053
16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,8a257245-0a62-4c48-b08e-2dae3869f25b,2022-04-20 10:13:34.877061
15,6,258,110,3730,19,75,1,amc matador,bf6e2eb9-18ca-4a2c-b8a8-1ae78cebf17a,2022-04-20 10:13:34.877069
18,6,225,95,3785,19,75,1,plymouth fury,16c9c077-8b4c-40c6-adf4-b0ed2c58cbd1,2022-04-20 10:13:34.877085
21,6,231,110,3039,15,75,1,buick skyhawk,1980e97a-1c0d-45ef-b48d-a22cf2bb2c5c,2022-04-20 10:13:34.877093
20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,1096afbf-40a3-4dbd-b9b0-565875b792db,2022-04-20 10:13:34.877101
13,8,302,129,3169,12,75,1,ford mustang ii,6f1303cc-b2ec-44cd-a6e6-6e8d16f2d71e,2022-04-20 10:13:34.877109
29,4,97,75,2171,16,75,3,toyota corolla,773a6405-24f9-41c8-9c91-5bbc78350c38,2022-04-20 10:13:34.877126
23,4,140,83,2639,17,75,1,ford pinto,ed4acc1e-91af-407c-ac19-bc1c6006e724,2022-04-20 10:13:34.877144
20,6,232,100,2914,16,75,1,amc gremlin,35d68c48-2a86-4ba8-bb59-64f8ba59ab8f,2022-04-20 10:13:34.877152
23,4,140,78,2592,18.5,75,1,pontiac astro,c5af58d0-dca4-48f1-8712-7349d1f82d38,2022-04-20 10:13:34.877160
24,4,134,96,2702,13.5,75,3,toyota corona,364bc1bf-c892-4f41-bae5-32cbb45d1b21,2022-04-20 10:13:34.877168
25,4,90,71,2223,16.5,75,2,volkswagen dasher,2924ef98-586f-4b30-bfb8-0f6fd92b1cd4,2022-04-20 10:13:34.877176
24,4,119,97,2545,17,75,3,datsun 710,69cd3872-0506-4f38-a0c7-c2e757ece7fd,2022-04-20 10:13:34.877190
18,6,171,97,2984,14.5,75,1,ford pinto,6a643fad-a840-49fe-8a20-cf7e9a81ff62,2022-04-20 10:13:34.877206
29,4,90,70,1937,14,75,2,volkswagen rabbit,4de52163-a22d-4a7f-a31a-1c3fee557c80,2022-04-20 10:13:34.877225
19,6,232,90,3211,17,75,1,amc pacer,953210fb-fa60-4c14-8b3b-9be09777c0e7,2022-04-20 10:13:34.877233
23,4,115,95,2694,15,75,2,audi 100ls,49c8ab0c-6d34-4534-ad2d-86c74eb6049a,2022-04-20 10:13:34.877241
23,4,120,88,2957,17,75,2,peugeot 504,52eed8a8-25ba-403c-af05-b84192c67f75,2022-04-20 10:13:34.877249
22,4,121,98,2945,14.5,75,2,volvo 244dl,f32a3dae-ff81-47eb-9bb8-9c583db5a795,2022-04-20 10:13:34.877257
25,4,121,115,2671,13.5,75,2,saab 99le,9ee4affd-58ac-4f4d-b0c8-5e8a75ea182c,2022-04-20 10:13:34.877265
33,4,91,53,1795,17.5,75,3,honda civic cvcc,224f7ba9-023e-409d-be1d-022078725fe7,2022-04-20 10:13:34.877272
28,4,107,86,2464,15.5,76,2,fiat 131,41da2f18-c462-4ff3-be1d-ae9f1b2f5a35,2022-04-20 10:13:34.877281
25,4,116,81,2220,16.9,76,2,opel 1900,97356d85-abdc-4281-9f05-5bbc16e01770,2022-04-20 10:13:34.877294
25,4,140,92,2572,14.9,76,1,capri ii,e94d7cd5-18a4-4bf2-a6d0-ee3988a3cabc,2022-04-20 10:13:34.877312
26,4,98,79,2255,17.7,76,1,dodge colt,7bbfc267-dfab-4ad3-9d5f-29f7daa9247b,2022-04-20 10:13:34.877331
27,4,101,83,2202,15.3,76,2,renault 12tl,dbec212d-1a8a-4ce6-a424-132676fa07bd,2022-04-20 10:13:34.877340
17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic,b5faeb0a-8dc2-40ef-878c-704f1dd15432,2022-04-20 10:13:34.877351
16,8,318,150,4190,13,76,1,dodge coronet brougham,82a852ae-be10-40f1-9a3c-b2fb047e306d,2022-04-20 10:13:34.877360
15.5,8,304,120,3962,13.9,76,1,amc matador,dadedcc1-403e-4c33-baf0-0208df29af6b,2022-04-20 10:13:34.877370
14.5,8,351,152,4215,12.8,76,1,ford gran torino,3cc38c04-c792-4cde-9db1-f6ee2c637e1a,2022-04-20 10:13:34.877388
22,6,225,100,3233,15.4,76,1,plymouth valiant,eefb9917-22b1-4c42-8c08-3dc30a67b963,2022-04-20 10:13:34.877397
22,6,250,105,3353,14.5,76,1,chevrolet nova,e2f850c9-a13e-4cab-858d-ffbcc3975761,2022-04-20 10:13:34.877406
24,6,200,81,3012,17.6,76,1,ford maverick,349e1ec1-97c3-4b09-b6e9-1b3ddbbe32e0,2022-04-20 10:13:34.877426
22.5,6,232,90,3085,17.6,76,1,amc hornet,d807f779-6266-4250-bbab-2b80cb231441,2022-04-20 10:13:34.877445
29,4,85,52,2035,22.2,76,1,chevrolet chevette,de04054a-ca4d-478d-8ce7-83ef146dbd34,2022-04-20 10:13:34.877453
24.5,4,98,60,2164,22.1,76,1,chevrolet woody,64f8e36d-3dee-43bd-9c4d-84dfa7af2830,2022-04-20 10:13:34.877461
29,4,90,70,1937,14.2,76,2,vw rabbit,6987d0e9-6d18-4cc2-89e0-279392da2277,2022-04-20 10:13:34.877469
33,4,91,53,1795,17.4,76,3,honda civic,135c587d-032e-41c6-8314-883904c605f2,2022-04-20 10:13:34.877482
20,6,225,100,3651,17.7,76,1,dodge aspen se,67976404-54f5-4789-94f2-aa7b0fcabd62,2022-04-20 10:13:34.877497
18,6,250,78,3574,21,76,1,ford granada ghia,af57c9f7-0653-4da5-a8fd-be8ed2c2e884,2022-04-20 10:13:34.877506
18.5,6,250,110,3645,16.2,76,1,pontiac ventura sj,df516a91-49a3-499a-962b-b5fc07f5872c,2022-04-20 10:13:34.877514
